mode,threads,ops_per_thread,key_space,distribution,read_pct,throughput_ops_s,lat_min_ns,lat_max_ns,lat_avg_ns,total_updates,total_reads,total_sum,cpu_usr_pct,cpu_sys_pct,cpu_idle_pct,cpu_iowait_pct,cpu_total_pct
3,2,200000,1024,zipfian,80,1770228.87,175,7299630,1000,80123,319877,80123,1.1,8.8,89.0,0.0,9.9
3,4,200000,1024,zipfian,80,1805789.40,172,4692234,1139,160020,639980,160020,4.5,25.4,67.7,0.0,29.9
3,8,200000,1024,zipfian,80,2665993.11,174,179608136,1976,320820,1279180,320820,1.4,16.8,68.5,2.8,18.2
3,16,200000,1024,zipfian,80,2486267.21,173,546955064,4271,640767,2559233,640767,3.7,25.9,33.8,26.6,29.6
4,1,200000,1024,zipfian,80,2863450.18,173,505326,265,40056,159944,40056,5.1,12.8,76.9,2.6,17.9
4,2,200000,1024,zipfian,80,4013980.09,183,532218,400,80123,319877,80123,2.5,10.0,87.5,0.0,12.5
4,4,200000,1024,zipfian,80,2315457.46,173,1121200,453,160020,639980,160020,1.3,7.1,91.0,0.0,8.4
4,8,200000,1024,zipfian,80,5283992.38,174,84304349,936,320820,1279180,320820,12.2,25.7,62.2,0.0,37.8
4,16,200000,1024,zipfian,80,5756939.36,174,333015804,1652,640767,2559233,640767,11.5,24.1,62.1,0.0,35.6
0,1,200000,1024,uniform,0,321379.19,187,795456,278,200000,0,200000,0.3,1.4,97.1,0.9,1.7
0,2,200000,1024,uniform,0,569607.99,187,1288972,326,400000,0,400000,0.3,1.3,98.2,0.0,1.5
0,4,200000,1024,uniform,0,1318303.16,187,559494,568,800000,0,800000,3.0,11.5,85.5,0.0,14.5
0,8,200000,1024,uniform,0,1561339.54,187,11661251,1090,1600000,0,1600000,4.9,21.8,72.8,0.0,26.7
0,16,200000,1024,uniform,0,2842611.93,188,17003901,1916,3200000,0,3200000,12.2,56.1,30.4,0.0,68.4
1,1,200000,1024,uniform,0,234510.94,190,440847,310,200000,0,200000,0.0,1.4,98.6,0.0,1.4
1,2,200000,1024,uniform,0,1143297.48,221,2562439,537,400000,0,400000,2.1,13.1,84.8,0.0,15.2
1,4,200000,1024,uniform,0,1523506.56,191,634970,560,800000,0,800000,4.3,12.4,83.0,0.0,16.7
1,8,200000,1024,uniform,0,3880048.01,191,6832130,940,1600000,0,1600000,16.4,55.6,27.5,0.0,72.0
1,16,200000,1024,uniform,0,3227102.57,0,7965744,1084,3200000,0,3200000,11.0,37.1,51.6,0.0,48.2
2,1,200000,1024,uniform,0,133680.52,177,405255,271,200000,0,200000,0.1,1.1,98.6,0.0,1.2
2,2,200000,1024,uniform,0,92880.10,177,651346,294,400000,0,400000,0.0,0.2,99.6,0.0,0.3
2,4,200000,1024,uniform,0,305834.85,177,708201,414,800000,0,800000,0.5,1.1,97.8,0.0,1.7
2,8,200000,1024,uniform,0,2830045.81,177,2768135,742,1600000,0,1600000,9.1,28.5,62.1,0.0,37.5
2,16,200000,1024,uniform,0,3585188.26,0,8543068,1085,3200000,0,3200000,15.9,41.7,41.7,0.0,57.6
3,1,200000,1024,uniform,0,95436.46,1403,2496337,3395,200000,0,200000,0.3,3.0,96.4,0.0,3.3
3,2,200000,1024,uniform,0,126708.03,1389,3665349,3939,400000,0,400000,0.3,5.3,94.0,0.0,5.5
3,4,200000,1024,uniform,0,467950.30,1441,11908153,6460,800000,0,800000,1.8,47.6,49.0,0.0,49.5
3,8,200000,1024,uniform,0,473479.02,0,15556450,6929,1600000,0,1600000,0.8,20.5,76.2,0.1,21.3
3,16,200000,1024,uniform,0,524682.85,1354,125761771,14057,3200000,0,3200000,1.4,38.0,55.6,0.1,39.4
4,1,200000,1024,uniform,0,117470.47,186,427426,383,200000,0,200000,0.1,0.5,99.3,0.0,0.6
4,2,200000,1024,uniform,0,695054.27,230,1073012,527,400000,0,400000,0.6,5.8,93.6,0.0,6.4
4,4,200000,1024,uniform,0,1488440.06,199,3325903,902,800000,0,800000,6.9,15.4,77.3,0.0,22.3
4,8,200000,1024,uniform,0,1646760.75,0,14706934,1520,1600000,0,1600000,11.0,28.7,59.5,0.0,39.7
4,16,200000,1024,uniform,0,2628055.09,283,28609118,1806,3200000,0,3200000,15.6,43.2,39.8,0.0,58.8
